Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo,CaptureDate,Aerolinea
2023-05-15,CLO,BOG,8:29 p. m.,10:56 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,8:29 p. m.,11:44 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,10:19 p. m.,"5:00 a. m.
+1","444.190,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,4:24 a. m.,9:39 a. m.,"417.260,00",2 paradas,2023-04-18,Latam
2023-06-02,CLO,BOG,4:21 a. m.,5:20 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,5:16 a. m.,6:15 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,6:40 a. m.,7:39 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,7:09 a. m.,8:08 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,7:30 a. m.,8:29 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,7:59 a. m.,8:58 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,9:20 a. m.,10:19 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,10:25 a. m.,11:25 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,2:42 p. m.,3:42 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,4:44 p. m.,5:44 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,5:37 p. m.,6:37 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,8:26 p. m.,9:26 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,10:15 p. m.,11:15 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-02,CLO,BOG,4:48 a. m.,7:30 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,4:48 a. m.,8:01 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,4:48 a. m.,8:25 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,4:48 a. m.,8:44 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,4:48 a. m.,9:12 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,9:00 a. m.,12:24 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,9:00 a. m.,1:56 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,12:23 p. m.,3:16 p. m.,"463.670,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,3:20 p. m.,6:14 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,3:20 p. m.,8:34 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,3:20 p. m.,9:29 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,3:20 p. m.,10:09 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,6:51 p. m.,9:29 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,6:51 p. m.,10:09 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,6:51 p. m.,11:45 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-02,CLO,BOG,9:00 a. m.,5:33 p. m.,"395.720,00",2 paradas,2023-04-18,Latam
2023-06-02,CLO,BOG,3:20 p. m.,9:30 p. m.,"417.260,00",2 paradas,2023-04-18,Latam
2023-06-02,CLO,BOG,3:20 p. m.,10:13 p. m.,"419.400,00",2 paradas,2023-04-18,Latam
2023-06-02,CLO,BOG,3:20 p. m.,11:59 p. m.,"414.050,00",2 paradas,2023-04-18,Latam
